participant_id,distribution_type,distribution_name,engagement_id,engagement_started_PDT,engagement_completed_PDT,engagement_participation_status,BrokerPanelId,Q1_province,Q1a_urban_rural,Q2_canadian_tenure,Q3_generation,Q4_identity_top3_1,Q4_identity_top3_2,Q4_identity_top3_3,Q4_identity_top3_4,Q4_identity_top3_5,Q4_identity_top3_6,Q4_identity_top3_7,Q4_identity_top3_8,Q4_Other,Q4_Other_sentiment,Q4_Other_sentiment_percentage,Q5_identity_connection,Q5b_identity_connection_why,Q5b_Video_transcription,Q5b_Video_sentiment,Q5b_Video_sentiment_percentage,Q5b_Text,Q5b_Text_sentiment,Q5b_Text_sentiment_percentage,Q6_oneword,Q6_Video_transcription,Q6_Video_sentiment,Q6_Video_sentiment_percentage,Q6_Text,Q6_Text_sentiment,Q6_Text_sentiment_percentage,Q7_values_1,Q7_values_2,Q7_values_3,Q7_values_4,Q7_values_5,Q7_values_6,Q7_values_7,Q7_values_8,Q7_Other,Q7_Other_sentiment,Q7_Other_sentiment_percentage,Q8_onesentance,Q8_Video_transcription,Q8_Video_sentiment,Q8_Video_sentiment_percentage,Q8_Text,Q8_Text_sentiment,Q8_Text_sentiment_percentage,Q9_divisions_1,Q9_divisions_2,Q9_divisions_3,Q9_divisions_4,Q9_divisions_5,Q9_divisions_6,Q9_divisions_7,Q9_divisions_other,Q9_divisions_other_sentiment,Q9_divisions_other_sentiment_percentage,Q10_Connection_building_1,Q10_Connection_building_2,Q10_Connection_building_3,Q10_Connection_building_4,Q10_Connection_building_5,Q10_Connection_building_6,Q10_Connection_building_7,Q10_Other,Q10_Other_sentiment,Q10_Other_sentiment_percentage,Q11_cover_tailgate,Q11_video_transcription,Q11_video_sentiment,Q11_video_sentiment_percentage,Q11_Text,Q11_Text_sentiment,Q11_Text_sentiment_percentage,Q12_Future_hope,Q12_Future_hope_sentiment,Q12_Future_hope_sentiment_percentage,Q13_Future_fear,Q13_Future_fear_sentiment,Q13_Future_fear_sentiment_percentage,Q14_video_consent
794a74e1-0492-43df-b109-c7f21eb40688,Link,ARF,122afd67-fdcc-4aad-9e53-e98c88ea118a,2025-05-02 14:18:50,2025-05-02 14:52:09,Completed,474062,Ontario,Urban (big city or downtown area),Less than 5 years,Millennial (born ~1981–1996),Heritage and ancestral connections,,,,Work and creative contributions,,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,I feel connected to Canada. When I arrived I felt like finally I’m home. Maybe is a hippie thing but I believe on past life’s and my past life I was Canadian and that’s why I always wanted to come here.,POSITIVE,0.9962638021,I'll type my answer instead📱,,,,Proud of it. Peaceful place,POSITIVE,0.9983848333,Equitable systems,Freedom and autonomy,Embracing pluralism,,,,,,,,,I'll type my answer instead📱,,,,I don’t understand this,NEGATIVE,0.9719483256,,,,Generational perspectives,Economic inequality,,,,,,,,Cultural celebration and exchange,,,Newcomer integration and knowledge,,,,,I'll type my answer instead📱,,,,The best country in the world,POSITIVE,0.9899278283,Economic growth,NEUTRAL,0.7767748833,Economic Down,NEGATIVE,0.7621004581,
e872b04c-0e81-4a9f-9420-b531839f10b7,Link,ARF,9ab92006-2485-4cb1-a7d9-b96c68940267,2025-05-02 14:18:52,2025-05-02 14:31:24,Completed,414527,Alberta,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),,,,Community relationships and networks,,Belief systems and core values,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,"Canada's values as a country have shaped my family's and my own. We take care of each other through social programs like universal health care.  I have had the privilege to grow up surrounded by kindness. Canadians default to kindness in most situations. This has shaped my world view that people are generally good.  While my family has lived in Canada since the American revolution, we are still a nation of immigrants. While the US is a melting pot, Canada is a mosaic. Displaying thousands of different cultures and identities into something truly beautiful.",POSITIVE,0.9923223853,I'll type my answer instead📱,,,,Kind,NEUTRAL,0.9923071265,Equitable systems,,,,,,Community care networks,,,,,I'll type my answer instead📱,,,,More unity would be incredible. Right now Alberta feels like their voices are not being heard. It is so difficult to unite a country this spread out but it is a noble goal.,POSITIVE,0.7006385326,,Political polarization,,,Economic inequality,,,,,,Honest dialogue and listening,Collaborative community projects,,,,,,,,,I'll type my answer instead📱,,,,Cooperation through collaboration,NEUTRAL,0.8454889059,Unity,NEUTRAL,0.9980376363,Division,NEUTRAL,0.999542594,
064a0333-001a-4a01-9c61-a53a11313dab,Link,ARF,43007573-eda3-4d5d-ad40-67779f44a068,2025-05-02 14:19:11,2025-05-02 14:23:36,Completed,554228,Alberta,Urban (big city or downtown area),5–10 years,Millennial (born ~1981–1996),,Cultural and linguistic frameworks,Regional landscape and place,,,Belief systems and core values,,,,,,Somewhat connected,I'll type my answer instead📱,,,,I feel connected to Canada’s identity of standing up for one another and be a positive voice on the world stage,POSITIVE,0.9985983968,I'll type my answer instead📱,,,,Support,NEUTRAL,0.4431570172,Equitable systems,,,,Environmental regeneration,,Community care networks,,,,,I'll type my answer instead📱,,,,Stemming the wave of authoritarianism around the world.,NEGATIVE,0.4629364312,,Political polarization,,,Economic inequality,,,,,,Honest dialogue and listening,Collaborative community projects,,,,,,,,,I'll type my answer instead📱,,,,N/A,NEUTRAL,0.9988700747,Steadfastness,POSITIVE,0.8861061335,Division,NEUTRAL,0.999542594,
5dfe0715-76f9-4907-b19c-2321e08f1915,Link,ARF,565da6f1-83c4-473e-8916-dccd6380b084,2025-05-02 14:19:47,2025-05-02 14:31:17,Completed,560148,British Columbia,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),,,,Community relationships and networks,,Belief systems and core values,Personal passions and curiosities,,,,,Somewhat connected,I'll type my answer instead📱,,,,"i live here, and talk to ppl here.",NEUTRAL,0.9150902033,I'll type my answer instead📱,,,,transit,NEUTRAL,0.9949362278,Equitable systems,,,,,Technological innovation and adaptation,Community care networks,,,,,I'll type my answer instead📱,,,,fixed housing,NEUTRAL,0.9863510728,,,,,Economic inequality,Cultural misunderstanding,,,,,,Collaborative community projects,Cultural celebration and exchange,,,,,,,,I'll type my answer instead📱,,,,built by liberals,NEUTRAL,0.8621224761,Build,NEUTRAL,0.994283855,nostelgia,NEUTRAL,0.9979561567,
08d35fcd-acb8-4bfd-b88a-0086c96f1daa,Link,ARF,9b6f8716-3e1a-4f33-8b1e-e43654b09c3f,2025-05-02 14:19:47,2025-05-02 14:27:44,Completed,489411,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Heritage and ancestral connections,Cultural and linguistic frameworks,,,,Belief systems and core values,,,,,,Very connected,I'll type my answer instead📱,,,,"My family has been in Canada since the late 1700’s. They helped form the values of this country. Built up the towns, cities, across the country.",POSITIVE,0.8449878097,I'll type my answer instead📱,,,,Failing,NEGATIVE,0.9626012444,,Freedom and autonomy,,,,,,,,,,I'll type my answer instead📱,,,,Stop punishing Canadians at the expense of non-Canadians both here and abroad.,NEGATIVE,0.810870707,,Political polarization,,,Economic inequality,,,,,,,,,,,Newcomer integration and knowledge,,,,,I'll type my answer instead📱,,,,We take criminals,NEGATIVE,0.6816518903,Conservatives,NEUTRAL,0.8902465701,Liberals,NEUTRAL,0.9947263598,
78ae6541-c930-44f7-961b-a31905d3a5e3,Link,ARF,d6bb8d14-2c44-4aca-90ed-dd3a5ed300a7,2025-05-02 14:20:15,2025-05-02 14:25:09,Completed,563760,Manitoba,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),Heritage and ancestral connections,,,Community relationships and networks,,Belief systems and core values,,,,,,A little connected,I'll type my answer instead📱,,,,"Through nature, shared values like universal health care",POSITIVE,0.7334872484,I'll type my answer instead📱,,,,Colonial,NEUTRAL,0.9985153079,Equitable systems,,,Indigenous reconciliation and rights,,,Community care networks,,,,,I'll type my answer instead📱,,,,Deeply expanded social services and offered a guaranteed universal basic income.,POSITIVE,0.7264881134,,Political polarization,,,Economic inequality,,,,,,,,,Educational transformation,Indigenous-led reconciliation,,,,,,I'll type my answer instead📱,,,,A Canada for everyone.,NEUTRAL,0.5281018019,care,NEUTRAL,0.9451630116,alt-right,NEUTRAL,0.7998476624,
40633526-b980-4686-82c1-2ef4ccfa38e2,Link,ARF,4380576e-161b-405e-9cea-41391f736d8f,2025-05-02 14:22:16,2025-05-02 14:32:13,Completed,321746,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Heritage and ancestral connections,Cultural and linguistic frameworks,,,,Belief systems and core values,,,,,,Very connected,I'll type my answer instead📱,,,,Born in and raised in Canada to immigrant parents who accepted Canada as their new home fully and completely.  NEVER said they were hyphenated Canadians…just 100% Canadian and assimilated into this country respecting the existing Canadian values and culture.,POSITIVE,0.8589039445,I'll type my answer instead📱,,,,"Respectful, polite, not disruptive to any neighbour.",POSITIVE,0.9629079103,,Freedom and autonomy,,,,Technological innovation and adaptation,,,,,,I'll type my answer instead📱,,,,"Solved the immigration crisis by going back to our old immigration system that was appreciated and accepted by all Canadians.  

Immigration is BROKEN.  It is making life worse for Canadians, NOT better.  And BETTER should be the only reason for immigration.",MIXED,0.5389027596,Resource and regional tensions,Political polarization,,,,,,,,,,,,Educational transformation,,,,,,,I'll type my answer instead📱,,,,Better yesterday than today.,POSITIVE,0.9531670809,"That liberal voters take off their blinders.  Stop being so brainwashed by mainstream media.  Open your eyes, and think for yourself.",NEGATIVE,0.8372523785,Future generations will be burdened so unbearably by this selfish government over-expenditure on programs that are NOT benefitting Canadians.,NEGATIVE,0.9840606451,
0cfd8efa-260f-4ab5-8fd8-31d85495a3c0,Link,ARF,929a1fb8-05b3-44c4-ba15-5040f08d49d9,2025-05-02 14:24:05,2025-05-02 14:40:31,Completed,436050,Ontario,"Rural (small town, village, or countryside)",20+ years,Silent Generation (born before 1946),,Cultural and linguistic frameworks,,,Work and creative contributions,,Personal passions and curiosities,,,,,Very connected,I'll type my answer instead📱,,,,"After surviving WW2, we came to  Canada and started to live a great life with many opportunities for happiness.",POSITIVE,0.9777755141,I'll type my answer instead📱,,,,Freedom,NEUTRAL,0.6831740141,Equitable systems,Freedom and autonomy,,,,,Community care networks,,,,,I'll type my answer instead📱,,,,Survived as a nation without dependancy on the USA.,NEUTRAL,0.5103106499,,Political polarization,,,,Cultural misunderstanding,,,,,Honest dialogue and listening,Collaborative community projects,,,,,,,,,I'll type my answer instead📱,,,,We did it!,POSITIVE,0.8254011273,Survival,NEUTRAL,0.9708564878,Fear,NEGATIVE,0.7321167588,
79496335-2ce6-4c16-b638-60c55aa56ff8,Link,ARF,41a3e627-f70d-477d-a1a2-fa62a7931610,2025-05-02 14:24:28,2025-05-02 14:34:03,Completed,564883,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),,,,Community relationships and networks,,Belief systems and core values,Personal passions and curiosities,,,,,Somewhat connected,I'll type my answer instead📱,,,,"As a transgender woman, it's hard to feel truly connected to a country that allows bigotry and hatred towards me perpetuate. ",NEGATIVE,0.9903867245,I'll type my answer instead📱,,,,Diversity,NEUTRAL,0.9577102661,Equitable systems,,,Indigenous reconciliation and rights,,,Community care networks,,,,,I'll type my answer instead📱,,,,Given all of the land back to the people they stole it from. I will gladly move away to make this happen.,NEGATIVE,0.6128210425,,,,,Economic inequality,,Other,Stigma regarding substance use. PEOPLE ARE DYING because they aren't getting help.,NEGATIVE,0.9770753384,Honest dialogue and listening,,,,Indigenous-led reconciliation,,,,,,I'll type my answer instead📱,,,,The greatest nation in the world built on genocide.,NEGATIVE,0.5800803304,Acceptance,NEUTRAL,0.7750474811,Fascism,NEUTRAL,0.628421545,
f996f79b-8558-4575-ab32-59b4bb2cd869,Link,ARF,a8788dbf-5be3-4033-8ff8-da58913cdb75,2025-05-02 14:24:43,2025-05-02 14:36:37,Completed,332166,Ontario,Urban (big city or downtown area),20+ years,Boomer (born ~1946–1964),,,Regional landscape and place,Community relationships and networks,,Belief systems and core values,,,,,,Very connected,I'll type my answer instead📱,,,,"I feel that I have values that I consider are Canadian, tolerance, acceptance of others, empathy for others. Although I was not born here, I am proud to be Canadian. I have always been proud that we have 2 founding languages, French and English. My children were raised to be bilingual, but now that Quebec has become unilingual, I am  not certain that French should be offered everywhere in Canada. ",POSITIVE,0.6598925591,I'll type my answer instead📱,,,,Empathy. That we will be generous of spirit and resources to help others and courageous when necessary to defend what we are and have.,POSITIVE,0.9880282879,,Freedom and autonomy,,,,Technological innovation and adaptation,Community care networks,,,,,I'll type my answer instead📱,,,,To have eliminated DIE and have a system that is based on merit and not on skin colour.,NEUTRAL,0.5892708898,,Political polarization,,,,,,,,,,,,,,Newcomer integration and knowledge,,,,,I'll type my answer instead📱,,,,A country with great beginnings that is now trying to destroy itself.,MIXED,0.5726618767,Unity,NEUTRAL,0.9980376363,Wokeness,NEUTRAL,0.5769968033,
