,,,,,,,,,
Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,Missing Values
HIDBROKERPANELID,1,HIDBrokerPanelId,Nominal,Input,50,Left,A1024,A1024,
AGE,2,Age,Unknown,Input,8,Right,F10,F8.2,-1
GENDER,3,Gender,Unknown,Input,8,Right,F8,F8.2,
EDUCATION,4,Education,Unknown,Input,8,Right,F8,F8.2,
HHINCOMEFINE23,5,HH_Income_Fine_23,Unknown,Input,8,Right,F8,F8.2,
HHINCOME,6,Household Income,Unknown,Input,8,Right,F8,F8.2,
VOTE2021,7,Vote2021,Unknown,Input,8,Right,F8,F8.2,
PROVINCIAL2022ONTARIO,8,Provincial2022_Ontario,Unknown,Input,8,Right,F8,F8.2,
SKVOTE24,9,SKVote24,Unknown,Input,8,Right,F8,F8.2,
SKVOTENV,10,SKVote_NV,Unknown,Input,8,Right,F8,F8.2,
BCVOTE24,11,BCVote24,Unknown,Input,8,Right,F8,F8.2,
BCVOTE24NV,12,BCVote24_NV,Unknown,Input,8,Right,F8,F8.2,
ETHNICITYROLL23,13,Ethnicity_Roll_23,Unknown,Input,8,Right,F8,F8.2,
PMARITALSTATUS,14,P_Marital_Status,Unknown,Input,8,Right,F8,F8.2,
HHCOMP23,15,HH_Comp_23,Unknown,Input,8,Right,F8,F8.2,
HHUNDER1823,16,HH_Under18_23,Unknown,Input,8,Right,F8,F8.2,
Variables in the working file,,,,,,,,,
,,,,,,,,,
Variable Values,,,,,,,,,
Value,,Label,,,,,,,
GENDER,1,Female,,,,,,,
,2,Male,,,,,,,
,3,Prefer to self-describe,,,,,,,
EDUCATION,1,Some elementary or high school,,,,,,,
,2,High school graduate,,,,,,,
,3,Some college/trade school,,,,,,,
,4,Graduated from college/trade school,,,,,,,
,5,Some university,,,,,,,
,6,"University undergraduate degree, such as a bachelor's degree",,,,,,,
,7,"University graduate degree, such as a master's or PhD",,,,,,,
HHINCOMEFINE23,1,"Under $10,000",,,,,,,
,2,"$10,000 to less than $25,000",,,,,,,
,3,"$25,000 to less than $40,000",,,,,,,
,4,"$40,000 to less than $50,000",,,,,,,
,5,"$50,000 to less than $60,000",,,,,,,
,6,"$60,000 to less than $75,000",,,,,,,
,7,"$75,000 to less than $100,000",,,,,,,
