attribute_type,defined_by,value_type,data_point_label,code_value,text_value
Identity,System,Uuid,participant_id,,
Chat,System,String,distribution_type,,
Chat,System,String,distribution_name,,
Chat,System,String,engagement_id,,
Chat,System,DateTime,engagement_started_PDT,,
Chat,System,DateTime,engagement_completed_PDT,,
Chat,System,SingleChoice,engagement_participation_status,1,Entered
Chat,System,SingleChoice,engagement_participation_status,2,Incomplete
Chat,System,SingleChoice,engagement_participation_status,3,Completed
Chat,System,SingleChoice,engagement_participation_status,4,Disqualified
Chat,System,SingleChoice,engagement_participation_status,5,OverQuota
Chat,User,String,BrokerPanelId,,
Chat,User,SingleChoice,Q1_province,1,Alberta
Chat,User,SingleChoice,Q1_province,2,British Columbia
Chat,User,SingleChoice,Q1_province,3,Manitoba
Chat,User,SingleChoice,Q1_province,4,New Brunswick
Chat,User,SingleChoice,Q1_province,5,Newfoundland and Labrador
Chat,User,SingleChoice,Q1_province,6,Nova Scotia
Chat,User,SingleChoice,Q1_province,7,Ontario
Chat,User,SingleChoice,Q1_province,8,Prince Edward Island
Chat,User,SingleChoice,Q1_province,9,Quebec
Chat,User,SingleChoice,Q1_province,10,Saskatchewan
Chat,User,SingleChoice,Q1_province,11,Northwest Territories
Chat,User,SingleChoice,Q1_province,12,Nunavut
Chat,User,SingleChoice,Q1_province,13,Yukon
Chat,User,SingleChoice,Q1_province,14,I don't live in Canada 🚫
Chat,User,SingleChoice,Q1a_urban_rural,1,Urban (big city or downtown area)
Chat,User,SingleChoice,Q1a_urban_rural,2,Suburban (residential area near a city)
Chat,User,SingleChoice,Q1a_urban_rural,3,"Rural (small town, village, or countryside)"
Chat,User,SingleChoice,Q1a_urban_rural,4,Remote or Northern community
Chat,User,SingleChoice,Q2_canadian_tenure,1,All my life
Chat,User,SingleChoice,Q2_canadian_tenure,2,20+ years
Chat,User,SingleChoice,Q2_canadian_tenure,3,11–20 years
Chat,User,SingleChoice,Q2_canadian_tenure,4,5–10 years
Chat,User,SingleChoice,Q2_canadian_tenure,5,Less than 5 years
Chat,User,SingleChoice,Q3_generation,1,Gen Z (born ~1997–2012)
Chat,User,SingleChoice,Q3_generation,2,Millennial (born ~1981–1996)
Chat,User,SingleChoice,Q3_generation,3,Gen X (born ~1965–1980)
